Names,Best For,Joining Fee,Renewal Fee,Welcome Bonus,Reward Rates,travel,Domestic Lounge Access,Insurance Benefits,Movie & Dining,Reward redemption,Golf,International lounge access,Zero Liability Protection,Spend based waiver,Reward redemption fee,Foreign currency markup,Interest Rates,Fuel Surcharge,Cash advance charge,Add on card fee,Eligibility,Limit
HDFC Bank INFINIA Credit Card Metal Edition,"Travel , Dining , Shopping","Rs. 10,000 (plus applicable taxes)","Rs. 10,000 (plus applicable taxes)","Complimentary memberships for a year to MMTDOUBLEBLACK, Zomato Gold, Club Marriott, Times Prime, and Amazon Prime.","5 Reward Points for every Rs. 150 spent, accelerated Reward Points while spending on SmartBuy","Complimentary lounge access at 1,000+ airports in India and abroad, Reward Points redeemable for flight and hotel bookings on SmartBuy (1RP = Re. 1).",Unlimited complimentary access to the domestic lounges,Travel-related insurance benefits including an air accident cover worth Rs. 2 crores and a credit liability cover worth up to Rs. 9 lakh.,"2X Reward Points on weekend dining, complimentary annual membership of Zomato Gold.","HDFC Bank Diners Club Black Reward Points are redeemable for flight/hotel bookings (1 RP = Re. 1) on SmartBuy, for AirMiles (1 RP = 1 AirMile), on Diners Club exclusive rewards redemption catalog (1 RP = Re. 0.5) and for cashbacks (1RP = Rs. 0.30).",6 complimentary golf games per quarter at some of the most premium golf destinations around the world.,Unlimited complimentary access to the international lounges,Zero liability protection worth Rs. 9 lakh against a lost/stolen card.,"Waiver of renewal fee on spending Rs. 5,00,000 in the previous year.",NA,1.99% (plus applicable taxes),1.99% per month (or 23.88% annually),"1% fuel surcharge waived (max waiver capped at Rs. 1,000/month and min transaction of  Rs. 400 required).",Higher of 2.5% of the amount withdrawn or Rs. 500.,NA,"You should get this card if you are a high net worth individual as it has a slightly high annual fee compared the so many other credit cards. So, you should make sure that you can afford the card without much difficulty.
This card is also a great option for you if you travel very often domestically and internationally as complimentary lounge access is one of the most exclusive features of the card.
If you don’t want to compromise with your luxurious lifestyle and you make most of your spends using your credit card.",Advantages and Disadvantages of HDFC Diners Club Black Credit Card
HDFC Bank Diners Club Black Credit Card,"Travel , Shopping","Rs. 2,500 (plus applicable taxes)","Rs. 2,500 (plus applicable taxes)","2,500 bonus Reward points",4 reward points every time one spends Rs. 150.,Complimentary Domestic and International Lounge Access. You get complimentary travel insurance as well.,12 free airport lounge access per year within India.,Insurance cover worth Rs. 1 Crore against accidental air death and coverage of up to Rs. 15 lakhs against emergency hospitalization for overseas treatment.,"Exclusive dine-out passport membership, 5% off additionally, and early access to several festivals & events.","1 RP = Rs. 0.5 for redemption against flights and hotel bookings on HDFC Smartbuy website, 1 RP = up to Rs. 0.35 if you want to redeem against vouchers and poducts, 1 RP = Rs 0.20 for cash back, and Air miles conversion at a value of 1RP = 0.5 air mile.",NA,6 airport lounge access every year outside India through the priority pass.,You get zero liability protection cover up to Rs 9 lacs in case of misuse or loss of card.,Get the annual fee waived off (second-year onwards) by spending more than 3 lakh in the previous year.,Rs 99 (plus applicable taxes),2% on all foreign currency transactions.,3.6% per month or 43.2% annually,1% fuel surcharge waiver at all fuel stations in India on a minimum of Rs. 400 transaction and a maximum of Rs. 5000 transaction.,2.5% of the transaction amount or Rs. 500 (whichever is higher),NA,"The easiest way to generate a PIN for your card is to do it via internet banking. You will easily find the option to generate or change your card’s PIN under the section Manage your card.
Another way to activate your card is to do it via ATM. You can go to your nearest ATM and find an option to activate your card and generate its PIN from the main menu of the ATM.",HDFC Regalia Credit Card Limit
HDFC Bank Regalia Credit Card,Travel,"Rs. 2,500 (plus applicable taxes)","Rs. 2,500 (plus applicable taxes)","2,500 bonus Reward Points",4 Reward Points on every retail spend of Rs. 150. Savings of up to 1.3% on all your spends through this card,"Complimentary lounge access at more than 1,000 airports lounges globally",Up to 6 domestic airport lounge access every year,"Insurance cover of Rs. 1 Crore for an air accident, coverage worth Rs. 25 lakhs for emergency hospitalization, and a cover worth Rs. 50,000 for baggage delay",NA,"You can redeem reward points against air tickets, and for AirMiles across Singapore Airlines at a rate of 1 RP = 0.50 Air Miles. 1 RP = Rs. 0.50 for redemption against Flight/Hotel bookings through Smartbuy, 1 RP = up to Rs. 0.35 for redemption against products & vouchers, and 1 RP = Rs. 0.20 for CashBack",NA,Up to 6 international airport lounge access every year,The cardholder will not be liable for any fraudulent transaction done through his/her lost/stolen credit card if reported to the bank within 24 hours of the loss,Renewal fee waived off for this card on spending over Rs. 3 lakhs within one anniversary year,Rs. 99 (plus applicable taxes),2% on all foreign currency transactions (plus applicable taxes),3.6% per month (or 43.2% annually),"1% fuel surcharge waived off on all fuel transactions between Rs. 400 to Rs. 5,000",2.5% of the cash amount withdrawn or Rs. 500 (whichever is higher),NA,"Visit the official website of the HDFC bank.
Scroll down to find the option ‘Ways to Bank’ and select ‘Online Banking.’
Now under the option ‘Credit Card Net Banking,’ click on ‘Register Online.’
Enter the required details and submit.
Your HDFC Diners Club Premium Card will be successfully registered for internet banking after this.",HDFC Bank Diners Club Premium Credit Card Login/Net Banking
HDFC Bank Diners Club Premium Credit Card,Shopping,"Rs. 1,000 (plus applicable taxes)","Rs. 1,000 (plus applicable taxes)","1,000 CashPoints as a Welcome Benefit.",5% cashback (as CashPoints) at select partner online merchants and 1% cashback (as CashPoints) on all other spends (except fuel),Complimentary airport lounge access every year.,2 complimentary visits per quarter. (8 in a year),NA,Up to 20% discount at partner restaurants with complimentary Dineout Passport membership,"Rewards processed as CashPoints, 1 CP = Re. 1 while redeeming against statement balance of credit card and 1 CP = Rs. 0.30 while redeeming against products and vouchers in the product catalogue, and against flight/hotel booking.",NA,NA,Zero liability of the credit cardholder in case of fraudulent transactions after you have reported about the loss or theft of the card to the bank.,The renewal fee is waived off if the cardholder spends Rs. 1 Lakh or more in the previous year.,Rs. 99 per redemption request (plus applicable taxes),3.5% (plus applicable taxes),3.6% per month (or 43.2% per annum),1% Fuel surcharge which is waived if you spend minimum Rs 400 in single transaction. The maximum CashBack is capped at Rs. 250 per payment cycle.,"2.5% of the transaction amount, subject to a minimum fee of Rs. 500",NA,"The cashback earned on all other online/offline spends with the card- spends at non-partner merchants- is just 1%.
A max capping of 1,000 CashPoints per statement cycle is applicable on CashPoints earned at the 5X accelerated rate, while you can earn another 1,000 CashPoints on the card at the normal 1X rate in a given statement cycle. A total of a maximum of 2,000 CashPoints can be earned in a statement cycle, which is equivalent to a cashback of Rs. 2,000.",Eligibility Criteria for HDFC Millennia Credit Card
HDFC Bank Millennia Credit Card,Travel,"Rs. 2,500 (plus applicable taxes)","Rs. 2,500 (plus applicable taxes)","Complimentary membership of Amazon Prime, Big Basket Star, MakeMyTrip Black Elite Tier, Zomato Pro, Times Prime Smart with HDFC Diners Club Privilege credit card","4 Reward Points on every Rs 150 spent, reward rate of up to 1.33%",Complimentary membership of MakeMyTrip Black Elite Tier using this card. You also get complimentary lounge access at both domestic and international destinations with HDFC Diners Club Privilege credit card.,Up to 12 complimentary domestic lounge access every year,Insurance cover worth up to Rs 1 crore in case of an air accident and an emergency cover of Rs 25 lac in case of hospitalization abroad.,Complimentary Dineout passport membership for three months and Complimentary subscription to Zomato Pro valid for 12 months.,"1 reward point = Rs 0.5 redeemable on SmartBuy reward portal for flight & hotels bookings, 1 reward point = 0.5 Air miles.",Get 8 complimentary golf games(2 per quarter) at select golf courses annually in India and abroad.,Up to 12 complimentary international lounge access every year,Protection cover of Rs 9 lac in case of any fraudulent transaction reported within a stipulated time on HDFC Diners Club Privilege credit card,Renewal fee waiver on spending over Rs. 3 lakhs in the previous year.,Rs 99 per redemption request (plus applicable taxes),1.99% of the conversion amount (plus applicable taxes),3.6% per month (43.2% per annum),1% fuel surcharge waiver on fuel transactions at all fuel stations subject to a maximum waiver of Rs 500 per statement cycle,2.5 % of the withdrawal amount subject to a minimum charge of Rs 500,NA,NA,NA
HDFC Diners Club Privilege Credit Card,Travel,"Rs. 1,000 (plus applicable taxes)","Rs. 1,000 (plus applicable taxes)","1,000 Reward Points",3 Reward points per Rs. 150 spent and 10X on shopping through partner brands.,You can use the Reward points to book hotel/flights bookings on Smartbuy.,NA,NA,Complimentary Dineout passport membership for 3 months and 5% off additionally on dining.,"For redemption against flight/hotel bookings on SmartBuy, 1 Reward Point = Rs. 0.30, 1 Reward Point = 0.30 Airmiles, 1 Reward Point = up to Rs. 0.25 for redemption against product catalogue, 1 Reward Point = Rs. 0.15 for redemption against cashback.",NA,NA,The cardholder will not be liable for any transactions done on the card once the card is reported lost/stolen to the bank.,Renewal fee waived off on spending Rs. 1 lakh or more in the previous year.,Rs. 99 on every redemption request (plus applicable taxes),3% (plus applicable taxes),3.6% per month (43.2% annually),"1% fuel surcharge waived off for all transactions between Rs. 400 & Rs. 5,000.",2.5% of the amount transacted or a minimum of Rs. 500.,NA,NA,NA
HDFC Bank Diners Club Rewardz Credit Card,Shopping,"Rs. 1,499","Rs. 1,499","1,499 NeuCoins as a welcome benefit","10% cashback (in the form of Neucoins) on the Tata Neu app, 5% cashback on Tata partner brands, and 1.5% cashback elsewhere.",Complimentary lounge access to domestic and international airport lounges.,8 complimentary domestic lounge access every calendar year,"Insurance cover worth Rs. 1 crore against air accident, cover worth Rs. 15 lakhs against emergency hospitalization, and lost card liability cover worth up to Rs. 9 lakhs.",NA,The earned Neu Coins can be redeemed against Tata partner brands on the tata Neu app at a rate of 1 Neu Coin = Re. 1.,NA,4 complimentary international lounge access each year,The cardholders will not be liable against any fraudulent transactions made on a lost/stolen if they report the loss of their card within 48 hours.,The renewal fee is waived off on achieving annual spends of rs. 3 lakhs or more.,NA,2% of the total conversion amount.,"3.49% per month, i.e, 41.88% per annum","1% fuel surcharge waiver for all fuel transactions between Rs. 400 and Rs. 5,000.","2.5% of the withdrawn amount, subject to a minimum fee of Rs. 500.",NA,"Visit the HDFC Bank’s official website.
Under the ‘Borrow’ section, click on the ‘Credit Cards’ option.
You will be redirected to a page where all the HDFC Credit Cards have been categorised based on their features.
Under the ‘Lifestyle’ category, select the Tata Neu Infinity Credit Card.
Click on apply now option under that.
Proceed further accordingly by filling in the digital application form and completing all other required formalities.",NA
Tata Neu Infinity HDFC Bank Credit Card,Shopping,"Rs. 1,499","Rs. 1,499","1,499 NeuCoins as a welcome benefit","10% cashback (in the form of Neucoins) on the Tata Neu app, 5% cashback on Tata partner brands, and 1.5% cashback elsewhere.",Complimentary lounge access to domestic and international airport lounges.,8 complimentary domestic lounge access every calendar year,"Insurance cover worth Rs. 1 crore against air accident, cover worth Rs. 15 lakhs against emergency hospitalization, and lost card liability cover worth up to Rs. 9 lakhs.",NA,The earned Neu Coins can be redeemed against Tata partner brands on the tata Neu app at a rate of 1 Neu Coin = Re. 1.,NA,4 complimentary international lounge access each year,The cardholders will not be liable against any fraudulent transactions made on a lost/stolen if they report the loss of their card within 48 hours.,The renewal fee is waived off on achieving annual spends of rs. 3 lakhs or more.,NA,2% of the total conversion amount.,"3.49% per month, i.e, 41.88% per annum","1% fuel surcharge waiver for all fuel transactions between Rs. 400 and Rs. 5,000.","2.5% of the withdrawn amount, subject to a minimum fee of Rs. 500.",NA,"Visit the HDFC Bank’s official website.
Under the ‘Borrow’ section, click on the ‘Credit Cards’ option.
You will be redirected to a page where all the HDFC Credit Cards have been categorised based on their features.
Under the ‘Lifestyle’ category, select the Tata Neu Infinity Credit Card.
Click on apply now option under that.
Proceed further accordingly by filling in the digital application form and completing all other required formalities.",NA
Tata Neu Plus HDFC Bank Credit Card,Travel,Rs. 499,Rs. 499,Amazon voucher worth Rs. 500 on making the first transaction within the first 30 days.,1 Cash Point for every retail spend of Rs. 100 and 5x Cash Points on IRCTC bookings.,Get free railway lounge access every year.,1 complimentary railway lounge access every quarter.,NA,NA,The earned Cash Points can be redeemed against travel bookings via IRCTC and several other options. 1 Cash Point = up to Re. 1.,NA,NA,The cardholders get a zero liability protection against a lost/stolen card if reported to the bank in a timely manner.,The renewal fee is waived on spending Rs. 1.5 lakhs or more in the previous year.,NA,3.5% of the transaction amount,3.6% per month.,1% fuel surcharge waiver on all fuel transactions.,2.5% of the cash amount or Rs. 500 (whichever is higher),NA,NA,NA
HDFC Bank RuPay IRCTC Credit Card,Shopping,"Rs. 1,000 (plus applicable taxes)","Rs. 1,000 (plus applicable taxes)",Complimentary Paytm First membership,"5% cashback on all spends on Paytm Mall/Movies/Mini app, 2% cashback on all other spends on Paytm, 1% cashback on all other retail spends with the card (except walleyt reloads, fuel spends and EMI spends)",Complimentary domestic airport lounge access,8 complimentary domestic airport lounge access every year (max 2 per quarter),NA,"5% cashback on Paytm Mall/Movies/Mini apps, 2% cashback on all other spends on Paytm, 1% cashback on all other retail spends with the card (except spends on EMIs, fuel and wallet reloads)",Redeem your Cashpoints as Cashback along with other redemption options.,NA,NA,The cardholder shall not be liable for any fraudulent transaction made with the card post reporting the loss of card to the bank.,"Joining fee waived off on spending a minimum of Rs. 50,000 within the first 90 days of card issuance, annual fee (second year onwards) waived off on the expenditure of a minimum of Rs. 1.5 lacs in the preceding 12 months.",NA,3.5% of the transaction amount,3.6% per month or 43.2% annually,1% fuel surcharge waived off on fuel purchases of a minimum of Rs. 400 (maximum waived amount capped at Rs. 500 per month),2.5% of the transaction amount (subject to a minimum charge of Rs. 500),NA,NA,NA
